Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
"Gambia, The",GMB,2003,65.28014,65.38135,114.8452,,41977,42466,,,,,,,,,,,,,,,,,,,5.787,58.328,56.084,268.231,317.941,76.2379837,73.86682129,31.81545067,91.8007,89.58806,5.79395,5.71603,,,,,,,42.91078,,,,56.8679426,50.8807448,,
Equatorial Guinea,GNQ,1986,,,185.4172,,,,,,,,,,,,,,,,,,,,,,5.962,48.792,45.842,351.376,408.557,,,,,,,,,,,,,,,,,,43.1645764,37.448598,,
Guyana,GUY,1961,,,142.1644,,,,,,,,,,,,,,,,,,,,,,6.305,63.104,57.946,231.813,314.425,,,,,,,,,,,,,,,,,,63.0369828,52.3529154,,
Haiti,HTI,2001,,,67.581,,,,,,,,,,,,,,,,,,,,,,4.237,59.308,55.469,273.114,336.446,,,,,,,,,,,,,,,,,,57.07101,49.6620302,,
Haiti,HTI,2010,,,59.5088,,,,,,,,,,,,,,,,,,,,,,3.427,62.531,58.495,231.035,293.377,,,,,,,,,,,,,,,,,,62.6538464,54.960052,,
IBRD only,IBD,1977,,,65.73483197,,44500000,22300000,,,,,,,,,,,,,,,,,,,4.037433878,62.93964873,59.34161717,191.9119324,253.2260903,67.78675,67.60198,45.84231,,,8.60069,10.78036,40.63516,,52.72744,,7.155930042,8.496479988,42.12605,42.23698,48.04138,43.42093,65.16279587,56.88963177,,
IDA only,IDX,1998,,,118.8453129,,22800000,18700000,,,,,,,,,,,,,,,,,,,5.238002291,57.0115077,54.15048564,287.0565425,332.2287899,55.43459,55.43707,38.47972,70.75576,72.43094,11.84378,12.57466,24.45427,21.84085,31.826,26.53221,3.118520021,5.190050125,43.48422,43.02586,28.75083,35.5264,54.77223567,48.70998387,,
IDA only,IDX,2012,79.69538,82.27461,97.81671137,,13100000,11500000,,,,,,,,,,,,,,,,,,,4.264039895,64.70234913,61.1526046,208.7236381,263.0843868,56.56084,54.37721,45.11594,79.62145,81.80086,9.25481,9.75136,41.26212,35.36892,46.69457,38.43583,8.398070335,11.79685974,46.77807,46.40494,29.20519,39.25523,66.44152541,58.89211867,75.12251282,69.8030014
IDA only,IDX,2013,79.93079,82.51532,96.38309838,,13000000,11300000,,,,,,,,,,,,,,,,,,,4.201582313,65.2037974,61.58245038,204.6368702,258.826839,57.2888,52.96051,45.40303,80.76993,82.24255,8.95283,9.55207,42.12221,35.57375,47.58203,38.75785,8.710720062,12.08773994,46.80746,46.44595,28.5659,39.24744,67.11480032,59.52607817,74.22537231,70.14920807
India,IND,2005,,,50.799,,,,,,,,,,,,,,,,,,,,,,2.972,65.357,63.689,178.003,236.373,,,,,,,,49.01576996,,58.42649841,,8.852190018,12.33619976,43.21012,43.01821,,20.08258,67.5640348,61.8328216,,
"Iran, Islamic Rep.",IRN,1968,,,143.3032,,,,,,,,,,,,,,,,,,,,,,6.617,49.526,49.494,327.567,345.11,,,,,,,,,,,,,,,,,,43.6851704,41.6897452,,
Iraq,IRQ,1992,,,67.455,,,,,,,,,,,,,,,,,,,,,,5.7,70.331,64.217,135.99,229.942,,,71.32006073,,,,,,,,,,,,,,,76.040239,64.92393,,
Israel,ISR,2013,,,11.1558,,,,1.033110023,1.875620008,1.438740015,33.42359924,29.20918083,31.39369011,87.08203125,89.87461853,88.42713165,48.39574051,42.20928955,45.41604996,48.39574051,42.20928955,45.41604996,80.44249725,80.88381958,80.6550827,3.03,83.9,80.3,41.393,75.007,98.7294693,99.72927856,84.9990921,99.9814,100,1.01755,2.04492,103.7264786,100,101.7145004,97.31183,77.19342804,57.35789871,49.47941,49.13409,,47.70188,93.0392436,88.2102452,,
Jamaica,JAM,2003,91.42035,90.23841,81.9904,97.4,14397,17152,,,,,,,,,,,,,,,,,,,2.439,75.442,72.871,120.406,204.524,,,90.38111115,,,,,86.33750916,78.11661,83.06452179,73.76098,,,50.10531,50.09208,66.91117859,42.02128,82.2797428,76.7593694,,
Cambodia,KHM,1997,76.28283,89.77808,51.511,,241608,106325,,,,,,,,,,,,,,,,,,,4.325,58.439,53.958,247.082,318.592,35.73865891,42.21237946,36.4263382,,,26.44778,27.47587,,,,,0.394039989,2.170300007,36.65887,,,,57.505078,48.558703,,
Kiribati,KIR,2013,,,20.1426,,,,,,,,,,,,,,,,,,,,,,3.765,70.777,62.645,161.284,243.892,,,,,,,,,,,,,,,,,,73.2342024,60.4854782,,
Kuwait,KWT,1987,79.66392,87.45169,37.259,,18044,10683,,,,,,,,,,,,,,,,,,,3.777,72.979,70.8,87.522,126.343,,,67.67801666,,,5.05263,5.34848,84.42505646,,90.94309998,,17.49629021,13.44935036,47.38628,47.25902,51.46340942,10.77283,82.802636,76.528673,,
Liberia,LBR,1967,,,223.268,,,,,,,,,,,,,,,,,,,,,,6.583,39.812,35.392,441.379,514.585,,,,,,,,,,,,,,,,,,31.556159,25.043729,,
Libya,LBY,1979,,,74.4234,,,,,,,,,,,,,,,,,,,,,,7.408,65.562,61.828,182.17,243.34,72.54251099,86.52606964,37.18413162,84.48109,87.7442,12.98553,15.05357,53.90394974,45.35884,78.6359024,65.24266,2.702749968,9.803970337,37.9053,39.93528,20.0745697,51.12282,68.5014482,60.015514,,
Lower middle income,LMC,1974,,,112.8011657,,37800000,22400000,,,,,,,,,,,,,,,,,,,5.582990411,53.23959855,51.45915859,285.3172351,324.1765311,48.04133,50.83666,37.07902,,,12.22273,13.36104,20.60795,,34.20675,,4.67565012,7.632110119,36.13805,36.24617,41.63328,38.12824,50.23634072,45.26835371,,
Lower middle income,LMC,1980,,,109.7501913,,37400000,20900000,,,,,,,,,,,,,,,,,,,5.191837122,56.66860836,54.28130219,250.9499233,302.3780188,53.35532,55.20463,38.93341,,,9.53408,10.25725,23.61031,,38.17338,,5.250360012,8.10861969,37.04465,37.1146,41.08853,38.25159,55.15287548,48.96874005,,
Morocco,MAR,2004,84.14041,89.25044,34.6804,62.6,298839,212382,,,,,,,,,,,,,,,,,,,2.598,72.436,69.632,107.571,137.446,69.94738007,75.12937927,45.02809143,,,10.96631,15.17231,44.19404984,,52.78305817,,10.04115009,12.07392979,45.20137,44.82696,33.28583908,39.06607,80.5865288,75.6044118,,
Maldives,MDV,2005,,,18.033,91.6,,,,,,,,,,,,,,,,,,,,,2.279,74.894,72.571,81.732,107.305,,,66.23872375,97.86833,92.33064,4.46742,5.84321,,,,,,,51.94521,,,,82.6762354,78.9801764,66.26506042,60.43164825
Mexico,MEX,1967,,,116.91,,,,,,,,,,,,,,,,,,,,,,6.764,62.355,58.053,221.727,293.321,,,,,,,,,,,,,,,,,,61.85103,53.519487,,
Mexico,MEX,1985,,,92.2396,,,,,,,,,,,,,,,,,,,,,,4.026,72.148,65.599,137.317,242.548,,,,,,,,53.45700836,,60.36547852,,,,45.13748,47.12839,,59.75568,76.1851672,63.8502738,,
Mali,MLI,2005,50.07308,63.07567,185.7866,,502458,380465,,,,,,,,,,,,,,,,,,,6.794,52.683,51.429,293.2,311.605,70.65065765,75.69111633,26.41938972,70.83998,85.43639,18.87937,18.35717,19.63702965,,31.85759926,,,,37.15215,37.47824,,40.47303,50.1534934,47.5883294,,
Malta,MLT,2007,,,18.031,99.8,,,,,,,,,57.95227814,67.31752777,62.53916931,13.15363026,21.99412918,17.48350906,10.41032028,12.02420998,11.20077038,18.66032982,27.64414024,23.06040001,1.35,82.2,77.5,42.081,73.956,96.99584961,92.90393829,86.90908813,99.56507,100,1.76062,1.98782,97.69764709,,102.0604019,,39.55773926,27.92937088,49.37547,47.50513,59.9549408,35.72241,92.315299,87.638294,,
Myanmar,MMR,1974,56.11856,61.49773,87.0542,,908979,778336,,,,,,,,,,,,,,,,,,,5.576,53.655,47.522,306.485,383.862,,,,,,20.83471,20.08018,,,,,,,41.4708,,,,48.1015384,35.8837486,,
Middle East & North Africa (excluding high income),MNA,1978,,,112.7298121,,4424834,1927600,,,,,,,,,,,,,,,,,,,6.348696553,58.77906366,55.58844583,221.9947326,294.6816186,74.46026,82.75766,45.5834,70.55347,72.09305,10.85598,12.92691,29.32228,28.50828,50.29453,40.47079,6.020510197,12.44410038,35.91829,35.62758,32.73536,33.2202,59.12990913,51.60708876,,
Mozambique,MOZ,2003,,,179.1288,47.7,,,,,,,,,,,,,,,,,,,,,5.768,51.956,47.739,409.114,464.228,,,,,,,,,,,,0.600220025,1.36105001,,,,,43.4028232,33.8037208,,
Mauritania,MRT,2000,59.07196,61.04315,96.4362,,86316,84871,,,,,,,,,,,,,,,,,,,5.413,62.493,58.864,204.8,255,,,24.73131943,,,,,15.06235981,,20.47187042,,,,41.92359,41.66082,10.35313034,32.70978,63.7757326,56.3008524,,
Malawi,MWI,1971,,,196.203,,,,,,,,,,,,,,,,,,,,,,7.345,40.546,39.909,364.636,415.056,,,,,,,,,,,,,,,,,,35.3825034,32.732517,,
Namibia,NAM,1977,,,116.59,,,,,,,,,,,,,,,,,,,,,,6.513,59.22,53.534,264.951,349.095,,,,,,,,,,,,,,,,,,58.394642,46.412076,,
New Caledonia,NCL,2009,,,19.6136,,,,,,,,,,,,,,,,,,,,,,2.2,79.9,74.2,67.514,119.897,,,,,,,,,,,,,,,,,,88.2538864,79.121925,,
Nicaragua,NIC,2019,,,81.6196,,,,,,,,,,,,,,,,,,,,,,2.377,77.982,70.944,101.226,198.33,,,,,,,,,,,,,,,,,,83.608194,71.9318848,,
Netherlands,NLD,2003,,,6.7676,100,,,,,,,,,,,,,,,,,,,,,1.75,80.9,76.2,66.203,93.558,,,,,,,,119.9669266,88.55526,121.7495804,87.71617,57.94977188,53.61730957,49.36601,48.55042,42.78078842,47.00783,89.7816432,85.0441408,,
Panama,PAN,1999,92.78902,93.45321,92.2566,90.1,11736,11032,,,,,,,,,,,,,,,,,,,2.767,77.449,72.47,90.07,160.167,90.5128479,89.80924225,74.84239197,,,5.21511,7.43302,66.8808136,60.00137,62.02022934,54.28208,47.28482056,29.48804092,50.38415,50.77858,55.43811035,51.27924,84.3420002,75.4363054,76.56498718,86.15141296
Philippines,PHL,2002,91.35792,88.90551,53.872,,438620,628038,,,,,,,,,,,,,,,,,,,3.712,72.446,65.515,155.933,270.439,78.50192261,68.80886078,87.25218964,97.01086,98.90392,1.57375,2.91386,83.28829193,59.92832,75.26399231,49.55082,34.18627167,26.32093048,51.4491,51.4491,76.36177826,,78.122713,62.98596,,
Poland,POL,2008,93.55424,93.48548,15.6194,99.4,71954,74744,,,,,,,75.57659912,82.65415192,78.8859787,23.34610939,17.61751938,20.66749001,18.79112053,15.94631958,17.46092987,75.50430298,82.63768768,78.83979034,1.39,80,71.3,76.953,201.651,97.74915314,97.37628937,83.78768158,98.69157,100,0.81515,1.52305,96.89022064,92.28063,97.39698029,90.29864,82.76669312,58.24784851,52.87195,48.6172,69.7871933,36.58854,87.8217216,71.3893832,,
"Korea, Dem. People's Rep.",PRK,2011,,,0.372,,,,,,,,,,,,,,,,,,,,,,1.934,73.307,66.402,109.774,181.089,,,,,,,,,,,,,,,,,,79.960604,67.4292912,,
"Korea, Dem. People's Rep.",PRK,2015,,,0.2934,,,,,,,,,,,,,,,,,,,,,,1.922,74.861,67.838,100.544,168.812,,,,,,,,92.86598206,,91.70667267,,19.85235977,36.02838135,49.14544,49.14544,45.47576141,,81.7355212,69.5286888,,
