Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
Chile,CHL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,1967,,,183.122,,,,,,,,,,,,,,,,,,,,,,6.058,46.251,43.815,374.103,427.499,,,,,,,,,,,,,,,,,,39.909062,35.034524,,
Ecuador,ECU,2018,,,78.7626,96,,,,,,,,,,,,,,,,,,,,,2.427,79.645,74.058,88.072,161.14,,,77.42903137,,,0.39609,0.54294,102.8441162,86.0294,100.0829391,83.3652,,,50.62278,49.67034,58.11227036,43.94534,85.7505808,77.4120342,,
Ecuador,ECU,2019,,,78.2642,,,,,,,,,,,,,,,,,,,,,,2.403,79.838,74.282,86.933,159.052,,,,,,,,,,,,,,,,,,85.9528156,77.7201894,,
"Egypt, Arab Rep.",EGY,1983,,,114.7848,,,,,,,,,,,,,,,,,,,,,,5.456,62.689,58.13,151.224,242.088,,,46.62266922,,,1.70844,2.3121,41.8298912,,64.46291351,,12.67039967,26.00625038,37.4178,38.0119,33.24330139,39.82521,66.8010524,56.2396772,,
Euro area,EMU,1989,,,14.4448343,,239910,293424,,,,,,,,,,,,,,,,,,,1.529802663,79.34892076,72.34922993,69.51534131,155.4332683,95.72985,94.05252,76.72184,96.88458,95.65987,3.34848,4.83426,94.11734,81.40195,92.88693,79.18489,30.13825989,32.46210098,50.50701,49.17546,53.91621,46.14392,88.27678595,75.91272529,,
Spain,ESP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,1974,,,119.8816,,,,,,,,,,,,,,,,,,,,,,7.121,45.437,42.405,382.585,440.422,,,14.0083704,,,,,2.721050024,,7.227350235,,0.0425,0.433189988,27.19331,27.35206,14.02773952,30.70793,38.3319098,32.7428096,,
Fiji,FJI,1972,,,58.985,,,,,,,,,,,,,,,,,,,,,,4.275,65.062,60.385,232.395,281.361,,,,,,,,56.99349976,,60.65853119,,0.895020008,1.549239993,47.85898,47.74966,,44.62713,67.246905,53.92712,,
Georgia,GEO,2008,99.11511,98.14265,50.9344,99.6,1239,2957,,,,,,,,,,,,,,,,,,,1.816,75.46,66.413,93.674,261.044,94.38432312,94.87039185,85.19519806,99.14789,98.6089,0.21382,0.37058,100.9276886,92.98594,97.8376236,89.834,43.52621078,34.5173111,48.69095,48.66367,,43.41772,84.2062724,63.7159784,95.00834656,94.87661743
Guinea-Bissau,GNB,1996,,,135.2138,,,,,,,,,,,,,,,,,,,,,,6.201,52.017,45.922,277.472,336.502,,,,,,,,,,,,,,,,,,48.1948158,36.3067004,,
Greece,GRC,2017,98.45671,97.99765,7.223,99.93,3773,4374,,,,,,,,,,,,,,,,,,,1.35,83.9,78.8,43.207,95.812,97.64642334,98.25012207,71.45809174,,,0.71388,0.71273,101.3692932,92.61503,107.4995193,94.04781,136.9972382,136.2320099,49.93527,47.52477,60.76010895,34.44719,93.286342,85.166753,,
"Hong Kong SAR, China",HKG,1968,,,25.7948,,,,,,,,,,,,,,,,,,,,,,3.649,74.343,67.212,112.694,204.317,,,,,,,,,,,,,,,,,,80.3928928,66.0572416,,
"Hong Kong SAR, China",HKG,1969,,,24.5806,,,,,,,,,,,,,,,,,,,,,,3.448,74.717,67.547,110.865,201.773,,,,,,,,,,,,,,,,,,80.8889646,66.7124812,,
Honduras,HND,1985,,,136.0998,,,,,,,,,,,,,,,,,,,,,,5.674,65.871,61.464,200.89,259.683,,,,,,,,,,,,,,,,,,67.1276498,59.2730124,,
Heavily indebted poor countries (HIPC),HPC,1974,,,150.7872339,,13000000,10900000,,,,,,,,,,,,,,,,,,,6.897255735,46.79798554,44.16435489,366.9433697,421.6757267,54.30935,61.52017,31.55181,58.81318,56.61963,15.48425,16.48367,8.95912,,15.83917,,1.27117002,2.111079931,36.102,35.95439,26.87874,34.51139,40.78018043,35.42947075,,
Heavily indebted poor countries (HIPC),HPC,1998,,,134.9935578,,19400000,16100000,,,,,,,,,,,,,,,,,,,6.187208239,53.08527051,49.92783013,347.1470614,403.9963084,52.02489,55.033,36.5838,63.9579,66.52067,14.04605,14.91496,16.53879,13.79844,24.342,18.606,2.209589958,3.654419899,40.58395,40.22809,26.42429,37.48354,48.00789774,41.30922749,,
Croatia,HRV,2000,93.69466,94.10882,16.773,99.9,6445,6318,,,,,,,,,,,,,,,,,,,1.39,76.68,69.12,70.95,174.609,99.1865387,99.82473755,89.34465027,100,99.49301,0.38491,0.52032,86.44654846,83.18619,84.64573669,81.55345,34.83945847,30.02025986,51.31132,49.40998,65.23621368,45.98119,88.049033,73.0169552,100,100
Israel,ISR,1974,,,41.8298,,,,,,,,,,,,,,,,,,,,,,3.626,73.27,70.13,,,,,,,,,,80.8345871,,74.4859314,,,,52.48766,50.64807,,45.59519,82.2249438,75.5269048,,
Israel,ISR,2012,,,11.543,,,,,,,,,,84.83927155,87.57515717,86.15811157,47.58383179,41.53913116,44.66997147,47.58383179,41.53913116,44.66997147,79.87161255,80.74833679,80.29424286,3.05,83.6,79.9,40.475,75.427,98.1354599,99.52581787,,99.54677,99.86044,0.81381,1.88098,103.2837677,100,101.2179489,97.06874,78.23892212,59.3166008,49.7218,49.14623,,46.73107,92.903765,87.915007,,
Italy,ITA,1962,,,20.653,,,,,,,,,,,,,,,,,,,,,,2.46,71.89,66.54,108.954,194.212,,,,,,,,,,,,,,,,,,80.014174,67.666611,,
Italy,ITA,1983,,,14.7862,,,,,,,,,,,,,,,,,,,,,,1.51,77.99,71.45,71.9,156.408,,,87.66713715,98.66052,100,0.96594,1.51352,71.91300964,,73.20172119,,22.11568069,27.2845993,48.43928,48.47195,59.48101044,48.53207,87.757519,75.3886076,,
Cambodia,KHM,1968,,,95.9332,,,,,,,,,,,,,,,,,,,,,,6.666,44.632,40.547,481.172,550.18,,,,,,,,,,,,,,,,,,32.7006066,24.7322932,,
Lebanon,LBN,1964,,,81.8612,,,,,,,,,,,,,,,,,,,,,,5.583,66.25,62.719,190.458,241.297,,,,,,,,,,,,,,,,,,68.4919462,60.9443944,,
Late-demographic dividend,LTE,2012,,,22.4961248,,2258993,2329655,,,,,,,,,,,,,,,,,,,1.719667625,77.4689068,71.99590333,78.76134958,143.7652406,85.2018,84.17522,67.01399,96.54314,97.15199,1.44677,1.81532,88.73262,80.85633,87.17073,76.71784,38.74948883,32.54965973,48.9147,48.26506,57.91216,44.94427,86.25117141,77.06175434,,
Latvia,LVA,2002,,,17.268,100,,,,,,,,,,,,,,,,,,,,,1.26,76.8,65.4,118.341,332.094,97.50077057,98.12732697,97.10399628,99.60461,99.98758,1.14545,2.67924,95.32898712,,95.25784302,,84.93141937,51.27558899,50.70695,49.05761,81.35308838,39.28145,82.299,57.016,,
Latvia,LVA,2016,97.48798,96.13208,15.9946,99.9,814,1293,0.324919999,0.513870001,0.412400007,35.75037003,21.8571701,29.3295002,100,100,100,47.3848381,29.39650917,39.07136917,38.52896881,23.60367012,31.6310997,91.05497742,87.49784088,89.41101074,1.74,79.6,69.8,87.497,229.587,97.30888367,95.61225128,92.80535126,99.19535,98.77006,0.56566,0.97412,110.4340668,94.71059,112.1207581,92.5142,98.10533142,64.08493042,50.50458,48.47129,82.61534882,40.35155,86.0774944,66.6662224,,
St. Martin (French part),MAF,1997,,,,,,,,,,,,,,,,,,,,,,,,,1.84,79.5,73.2,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,2005,,,,,,,,,,,,,,,,,,,,,,,,,1.83,80.9,74.6,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,1992,,,149.206,57,,,,,,,,,,,,,,,,,,,,,6.116,53.577,51.045,299.946,349.307,34.50168991,28.91239929,,,,33.25973,33.8641,,,,,,,49.6672,,,,50.393194,45.126343,,
Maldives,MDV,1969,,,212.4578,,,,,,,,,,,,,,,,,,,,,,7.237,43.086,43.664,436.992,368.348,,,,,,,,,,,,,,,,,,33.6091556,37.1303968,,
Mali,MLI,2010,62.69748,73.71121,181.5306,28.1,444728,321999,,,,,,,,,,,,,,,,,,,6.547,55.871,54.62,276,295.666,73.57779694,77.07939148,27.83382034,91.79131,93.73234,12.87734,12.8371,31.93840027,24.73725,46.4634819,36.47297,3.563600063,8.630200386,40.01735,40.17184,,41.13657,53.9557632,51.1826386,,
Myanmar,MMR,1965,,,96.502,,,,,,,,,,,,,,,,,,,,,,6.136,48.611,42.834,358.077,445.599,,,,,,,,,,,,,,,,,,41.0901774,30.3710276,,
Middle East & North Africa (excluding high income),MNA,2013,93.07235,95.38204,44.33757164,,1437703,850922,,,,,,,,,,,,,,,,,,,2.966198483,74.60265885,70.71534303,97.50491914,153.3382982,81.86861,82.23958,61.01473,86.00381,88.14899,4.84593,7.72353,71.88122,64.96358,76.41134,69.54146,34.36164856,34.86442184,48.63934,47.39571,46.37803,38.52812,83.09868542,75.57458258,83.9664917,82.2366333
Montenegro,MNE,1986,,,31.3524,,,,,,,,,,,,,,,,,,,,,,2.137,76.936,70.921,82.063,167.296,,,,,,,,,,,,,,,,,,85.0060804,73.139141,,
Mauritius,MUS,1978,80.3445,82.24958,66.679,,13408,12284,,,,,,,,,,,,,,,,,,,2.954,70.121,61.906,157.128,314.147,,,43.41939926,,,,,46.46796036,,50.41439056,,0.762059987,2.127180099,47.35645,47.28641,39.73648071,42.66994,73.3268078,53.2903004,,
Niger,NER,2019,,,180.4888,,886775,760498,,,,,,,,,,,,,,,,,,,6.824,63.621,61.281,218.743,248.09,,,53.65089035,,,,,,,,,3.274139881,5.144690037,,,,,65.142674,59.8267356,98.08582306,97.35458374
Nigeria,NGA,2011,,,118.2752,47.3,,,,,,,,,,,,,,,,,,,,,5.802,52.12,50.596,355.68,389.086,,,,,,,,41.88798904,,49.10924911,,8.30039978,11.99584007,45.23625,45.23625,,,46.1468608,42.1874752,,
Nepal,NPL,1982,,,131.388,,,,,,,,,,,,,,,,,,,,,,5.645,48.47,47.729,372.026,410.571,,,,,,,,9.017370224,,33.14522171,,,,,20.5368,,,41.750378,38.300402,,
New Zealand,NZL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,1978,,,92.171,,,,,,,,,,,,,,,,,,,,,,5.839,52.565,50.584,341.718,417.582,,,23.76018906,,,,,,,,,,,30.3344,,33.77687073,,46.2987924,38.223726,,
Poland,POL,1998,,,18.3252,99.7,,,,,,,,,,,,,,,,,,,,,1.44,77.3,68.9,89.252,234.724,,,,,,,,97.78308105,,97.55539703,,45.45941925,33.18455887,55.05341,48.88929,,41.30432,85.5596408,66.3628444,,
Pre-demographic dividend,PRE,1960,,,165.6439891,,,,,,,,,,,,,,,,,,,,,,6.617720436,40.37601113,37.94295208,438.7881848,494.591248,,,,,,,,,,,,,,,,,,31.99565284,27.27901918,,
Puerto Rico,PRI,1993,,,73.0264,,,,,,,,,,,,,,,,,,,,,,2.153,78.693,69.376,84.634,237.245,,,,,,,,,,,,,,51.00592,,,,86.370321,68.1929804,,
"Korea, Dem. People's Rep.",PRK,1992,,,1.755,,,,,,,,,,,,,,,,,,,,,,2.235,72.723,65.36,82.745,152.916,,,,,,,,,,,,,,,,,,81.26113,68.425696,,
Sudan,SDN,1983,,,110.2054,,,,,,,,,,2.099999905,7.474020004,4.699999809,0.300000012,1.333469987,0.800000012,,,,1.200000048,4.507090092,2.799999952,6.605,56.021,53.099,281.359,332.046,,,,,,,,,,,,,,,,,,53.3906488,47.6045568,,
Slovenia,SVN,2010,99.37694,99.35225,4.9044,99.9,324,359,,,,,,,93.98220825,96.96433258,95.4296875,23.12479019,19.24052048,21.23941994,23.12479019,19.24052048,21.23941994,72.30023193,83.37097931,77.67381287,1.57,82.7,76.3,51.815,120.569,98.07791901,99.0812912,97.54815674,100,99.96396,0.53359,0.93731,98.58956146,94.65004,99.28861237,93.42939,107.4362106,72.27735901,52.51231,48.34989,72.48705292,40.89488,91.6232082,81.6228902,,
Slovenia,SVN,2015,,,4.1576,,,,1.790279984,1.604279995,1.764709949,21.35549927,16.04277992,18.8235302,97.31458282,98.93048096,98.1699295,29.41176033,22.59358025,26.14378929,29.41176033,22.59358025,26.14378929,76.72634125,86.36363983,81.50327301,1.57,83.9,77.8,45.527,101.185,99.50372314,98.39740753,97.17671204,99.4689,99.05123,0.52726,0.9408,111.0017929,97.34698,109.6930084,95.57218,95.95791626,65.38490295,52.03279,48.5148,73.19748688,43.60779,92.3592774,84.3331642,,
Sweden,SWE,1989,98.75798,98.7937,11.6094,,3558,3630,,,,,,,68.16738892,69.01145172,68.58467102,18.06617928,18.08264923,18.07434082,,,,55.51015091,58.30535126,56.89197159,2.01,80.8,74.8,65.033,117.448,99.82904816,99.58289337,,,,0,0,91.48667145,85.03463,88.0532074,84.55453,32.60509872,27.89431,51.57704,49.77915,,46.55241,89.3775986,81.3875004,,
Sweden,SWE,2008,98.11789,98.73669,5.8922,,4867,2888,,,,,,,85.14846039,86.44006348,85.78205109,34.35232925,30.14374924,32.28781891,30.56296921,23.9780407,27.33274078,76.57550049,75.96063995,76.27388,1.91,83.2,79.1,47.389,75.892,99.28063965,98.76564789,81.01437378,99.54774,100,0,0,100.9686737,97.17291,101.6215515,97.05387,87.42613983,54.84199142,50.45042,48.55338,59.25827026,44.22448,92.1963108,88.0076266,,
Eswatini,SWZ,2014,84.68839,86.05307,78.564,88.3,15245,13891,,,,,,,,,,,,,,,,,,,3.097,57.322,50.263,368.078,518.222,82.48792267,75.94374084,69.86125946,98.72944,100,13.25888,17.84346,73.53955078,45.50959,74.1427002,35.52315,,,49.67798,49.58809,49.28863144,24.04692,46.3298116,29.5018354,82.6101532,79.41973114
Eswatini,SWZ,1994,77.80021,74.58157,120.0406,56,21768,25210,,,,,,,,,,,,,,,,,,,4.563,61.641,56.202,313.77,404.497,77.28768921,73.75679016,77.2379837,87.8111,87.38385,12.69727,16.82395,,,,,,,50.33954,,,,56.70913,43.9774482,,
Seychelles,SYC,2000,,,57.9036,99,,,,,,,,,,,,,,,,,,,,,2.08,77.9,67.9,107.02,256.086,89.44262695,90.31828308,86.11110687,99.36143,98.25,,,76.3796463,68.48823,69.55996704,62.31234,,,51.31643,51.31643,52.11267853,,82.9773888,63.4569466,82.173172,74.73683929
Seychelles,SYC,2019,,,60.3988,,,,,,,,,,,,,,,,,,,,,,2.34,78.4,69.7,97.054,200.443,,,85.0628891,,,,,81.13082886,,76.19348145,,26.73299026,12.02186012,,,55.87393188,,84.4404296,70.22368,83.73383331,87.36842346
Syrian Arab Republic,SYR,2008,,,49.9912,,,,,,,,,,27.37104034,38.22159958,32.81393051,10.08150005,14.70452976,12.40052032,4.483560085,7.309189796,5.900959969,17.73526001,24.94795036,21.35330963,3.613,77.034,70.717,80.925,177.02,94.2304306,92.79931641,,98.1459,97.23851,6.34187,8.48352,71.97229004,65.98292,72.05525208,65.94929,22.75443077,25.27953911,48.81455,48.46609,,39.68661,85.9930864,73.8889674,,
Chad,TCD,1982,,,218.006,,,,,,,,,,,,,,,,,,,,,,7.023,46.507,44.192,371.15,419.786,,,,,,,,,,,,,,,,,,40.038843,35.363205,,
Europe & Central Asia (IDA & IBRD countries),TEC,1976,,,47.95222579,,,,,,,,,,,,,,,,,,,,,,2.666087522,71.08811908,62.38274661,126.1711892,279.0426695,,,,,,,,,,,,31.8861599,27.98134041,,,,,77.20386723,57.86461804,,
Europe & Central Asia (IDA & IBRD countries),TEC,1991,,,51.64496519,,,,,,,,,,,,,,,,,,,,,,2.208692753,72.7785774,63.95800144,118.5035854,282.9439379,97.02238,96.60456,82.45684,,,,,86.75004,,89.18519,,35.29698944,31.62537956,49.76761,48.53293,,42.90486,78.3557148,56.6685306,,
Thailand,THA,1999,,,44.206,,,,,,,,,,,,,,,,,,,,,,1.705,74.4,66.738,136.929,260.226,84.62580872,78.73002625,63.39300919,,,3.53186,3.43693,,,,,35.23905945,30.00952911,,,,,79.250096,65.2152744,,
Tajikistan,TJK,1965,,,64.498,,,,,,,,,,,,,,,,,,,,,,6.962,53.752,50.564,158.556,207.169,,,,,,,,,,,,,,,,,,50.5692614,45.0942108,,
Middle East & North Africa (IDA & IBRD countries),TMN,1988,,,78.36724227,,4004986,1914375,,,,,,,,,,,,,,,,,,,5.285601924,66.2652886,61.01429095,168.4263561,258.0727933,81.59358,85.99567,49.87744,82.02697,86.87633,8.36898,11.17268,42.31826,39.71158,60.49965,50.27487,9.15997982,15.70806026,40.44098,40.04037,36.55577,37.13381,69.82050227,60.05489987,,
Tonga,TON,1998,93.06859,94.87414,22.2556,,480,393,,,,,,,,,,,,,,,,,,,4.3,70.209,68.789,138.681,184.312,,,69.94680786,,,6.86571,7.91464,103.9274521,76.60021,88.73648071,64.87734,,,50.6954,50.75031,31.52639008,52,75.8838218,69.530017,92.5855484,74.77876282
Trinidad and Tobago,TTO,2006,,,38.1564,96.9,,,,,,,,,,,,,,,,,,,,,1.78,73.709,68.299,135.36,235.204,,,,,,,,,,,,,,,,,,79.0256506,67.3318546,,
Trinidad and Tobago,TTO,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,2000,,,34.9826,99.9,,,,,,,,,,,,,,,,,,,,,1.116,73.53,62.1,135.32,377.775,97.26647949,96.6135025,98.3901062,,,0.70428,0.7027,102.7060623,95.73711,101.4382935,91.51015,51.84286118,45.77545166,50.28779,49.07321,76.24188995,32.38074,78.2821782,49.7329522,,
Uruguay,URY,1973,,,65.845,,,,,,,,,,,,,,,,,,,,,,2.989,72.269,65.66,121.209,215.616,,,,,,,,68.74852753,,59.46422958,,,,56.28343,52.74416,,37.71553,78.270255,64.6587448,,
Vietnam,VNM,1965,,,19.416,,,,,,,,,,,,,,,,,,,,,,6.475,66.248,57.948,160.986,276.863,,,,,,,,,,,,,,,,,,69.7630422,54.6208358,,
Vanuatu,VUT,2006,,,55.8568,92.9,,,,,,,,,,,,,,,,,,,,,4.261,70.079,67.146,132.974,182.043,73.29486847,73.78227997,,,,,,,,,,,,49.16353,,,,76.7139008,69.0429638,,
South Africa,ZAF,1966,,,87.2942,,,,,,,,,,,,,,,,,,,,,,5.878,53.34,48.253,291.368,359.979,,,,,,,,,,,,,,,,,,49.8378838,39.3782306,,
South Africa,ZAF,2017,94.66547,90.27715,67.908,,198498,369093,0.259119987,0.36322999,0.308780015,8.21088028,8.282770157,8.245189667,71.14021301,73.62943268,72.32788086,13.6885004,13.6996603,13.69382,11.9843502,11.66827011,11.83353996,60.47858047,62.28057861,61.33835983,2.43,67.064,60.162,258.471,378.912,92.21189117,87.31864166,,,,,,109.0322571,78.52272,100.4246368,65.42324,26.37453079,18.41967964,51.94324,51.70123,57.87511826,48.50326,65.986025,49.886778,,
Zimbabwe,ZWE,1978,,,162.9424,,,,,,,,,,,,,,,,,,,,,,7.195,60.546,57.177,242.281,298.707,,,34.92351913,,,,,7.024290085,,9.177539825,,,,42.51335,43.32329,38.67773056,100,60.3936682,53.2106924,,
Aruba,ABW,1993,,,48.7648,,,,,,,,,,,,,,,,,,,,,,2.149,76.033,71.098,89.007,141.725,,,,,,,,,,,,,,,,,,84.6742388,75.7635248,,
American Samoa,ASM,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0663,,,6.11111,,,,
Austria,AUT,1986,,,23.1326,,,,,,,,,,,,,,,,,,,,,,1.45,77.8,71,80.425,175.215,,,78.94592285,,,,,92.55174255,,101.4598236,,24.68512917,28.65136909,48.30935,46.60973,52.53466034,44.21213,86.980831,73.6285932,,
Austria,AUT,2003,88.2903,86.69972,12.9022,98.4,6583,7941,,,,,,,,,,,,,,,,,,,1.38,81.5,75.9,59.49,115.817,99.25900269,96.34294128,90.10825348,,,,,96.78659058,87.8824,102.0434799,89.01378,,,49.77418,47.45914,59.86175919,43.14392,90.9222246,82.3394632,,
Azerbaijan,AZE,1991,94.78084,97.5025,35.1622,97.2,11600,5799,,,,,,,,,,,,,,,,,,,2.87,68.917,60.478,114.603,252.116,,,75.49375153,,,,,91.2085495,,91.14349365,,19.68337059,29.7108593,49.63929,48.58863,,31.59926,74.312253,56.8434506,,
Burkina Faso,BFA,2015,68.75138,71.12553,108.7606,79.8,468549,448778,,,,,,,,,,,,,,,,,,,5.436,60.525,59.183,242.487,273.429,73.92059326,64.19257355,44.61878967,76.91814,78.19348,5.63801,5.54235,32.32059097,25.91824,35.06678009,27.12727,3.461270094,6.621610165,47.14562,47.05256,16.53096962,44.14952,60.5008072,56.2731952,89.49188232,82.13944244
Burkina Faso,BFA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,2018,,,39.3266,,19315,20662,,,,,,,,,,,,,,,,,,,1.56,78.6,71.5,,,,,93.25357819,,,,,95.18641663,,98.35791779,,79.33702087,64.19235229,,,78.41175842,,86.6871608,71.7985414,,
Bolivia,BOL,2005,,,83.4396,,,,,,,,,,,,,,,,,,,,,,3.621,67.538,63.192,187.602,252.131,,,,,,,,84.94075775,73.64146,89.01383972,75.6866,,,47.83811,47.83697,,47.83621,69.4655766,61.4583906,,
Central Europe and the Baltics,CEB,1997,91.29349,91.76574,26.64341616,,219444,221022,,,,,,,,,,,,,,,,,,,1.381600606,75.75070392,67.49591455,100.6661793,246.7593469,93.4111,92.89558,85.27703,98.27164,98.86743,1.02387,2.51832,89.89734,83.23231,88.65435,80.73385,34.86811829,26.53718948,52.76763,49.16886,67.25223,43.28203,83.68638721,64.33850919,,
"Congo, Dem. Rep.",COD,2003,,,127.2276,,,,,,,,,,,,,,,,,,,,,,6.718,53.586,50.698,299.976,352.011,,,,,,,,,,,,,,,,,,50.4407188,44.7553502,,
Curacao,CUW,1973,,,62.9636,,,,,,,,,,,,,,,,,,,,,,,,,129.174,213.405,,,,,,,,,,,,,,,,,,77.946691,67.8383998,,
Curacao,CUW,1988,,,51.8896,,,,,,,,,,,,,,,,,,,,,,,,,86.717,172.065,,,,,,,,,,,,,,,,,,85.0246182,74.1744444,,
Germany,DEU,2000,87.11377,85.84641,12.6676,98.6,,,,,,,,,,,,,,,,,,,,,1.38,81,75,63.354,125.456,99.67803955,98.36425018,81.18190765,99.80124,100,1.545,1.91742,98.86846924,,100.946022,,,,49.7889,48.35321,53.02830887,42.91809,90.0142138,80.6842262,,
Dominica,DMA,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.06713104,,52.91941071,,,,58.37225,59.41343,,77.45665,,,,
Denmark,DNK,1989,97.94835,97.65609,9.0918,,3718,4453,,,,,,,,,,,,,,,,,,,1.62,77.75,71.99,101.793,159.536,98.16973114,98.27131653,,,,0,0,109.6090469,87.39843,108.6384735,85.279,33.43392181,30.36746979,51.32212,49.07405,,44.3443,83.9827442,75.4233378,,
Dominican Republic,DOM,2007,90.94132,89.39885,104.63,97.8,44256,53616,,,,,,,43.34637833,41.68117905,42.53044891,21.2383194,15.95862961,18.65133095,21.2383194,15.95862961,18.65133095,33.29830933,28.24473,30.82212067,2.586,74.499,68.374,130.665,219.051,,,75.98336029,,,4.12193,6.87286,87.60420227,68.56765,72.80027771,56.04339,,,53.84722,54.07075,60.17974854,59.70668,78.593651,67.838269,90.48612976,81.25917053
Dominican Republic,DOM,1992,,,112.933,,,,,,,,,,,,,,,,,,,,,,3.287,70.017,64.806,158.533,233.924,,,,,,,,,,,,,,,,,,73.007636,63.362922,,
Ecuador,ECU,1984,,,91.235,,,,,,,,,,,,,,,,,,,,,,4.293,67.831,63.887,151.026,215.087,,,64.60365295,,,,,54.78952026,,53.03673935,,24.25843048,37.32545853,48.32989,50.1614,38.58472061,60.99571,71.8035124,64.0474082,,
Euro area,EMU,1972,,,31.68291815,,477100,598890,,,,,,,,,,,,,,,,,,,2.235837036,74.89233218,68.4786059,96.15253335,188.5363449,93.06033,91.30613,72.6058,,,6.37929,8.22596,76.56554,,81.03985,,17.07995987,24.09013939,49.48393,47.52712,,42.68071,83.08615124,69.75807415,,
European Union,EUU,1977,,,32.90405087,,721133,712081,,,,,,,,,,,,,,,,,,,1.991319788,75.75728776,69.003678,92.56287484,191.7279449,,,76.79328,,,,,83.66917,75.66873,84.72188,74.55711,19.74427032,25.22011948,50.16283,48.52933,52.77163,44.14763,84.08614148,70.24863665,,
France,FRA,1966,,,26.6666,,,,,,,,,,,,,,,,,,,,,,2.8,74.7,67.4,105.889,212.846,,,,,,,,,,,,,,,,,,82.3402358,66.6074144,,
Georgia,GEO,2002,,,48.351,97.4,,,,,,,,,89.74452972,92.76789093,91.10677338,48.43938065,48.21754074,48.33942032,25.15044975,26.72513008,25.85996056,82.25920868,85.3753891,83.66327667,1.586,73.926,66.38,100.258,237.696,90.09594727,100,84.8962326,97.36478,99.68487,0.16833,0.45839,94.12854767,,91.32398224,,44.86676025,42.72515106,49.30257,48.76472,80.28177643,28.7866,82.014546,65.040109,,
